geolocation_zip_code_prefix,geolocation_lat,geolocation_lng,geolocation_city,geolocation_state
1037,,,sao paulo,SP
1046,,,sao paulo,SP
1041,,,sao paulo,SP
1035,,,sao paulo,SP
1012,,,são paulo,SP
1047,,,sao paulo,SP
1013,,,sao paulo,SP
1029,,,sao paulo,SP
1011,,,sao paulo,SP
1032,,,sao paulo,SP
1014,,,sao paulo,SP
1039,,,sao paulo,SP
1024,,,são paulo,SP
1009,,,sao paulo,SP
1020,,,são paulo,SP
1043,,,são paulo,SP
1050,,,sao paulo,SP
1045,,,sao paulo,SP
1007,,,sao paulo,SP
1005,,,sao paulo,SP
1017,,,são paulo,SP
1019,,,sao paulo,SP
1027,,,sao paulo,SP
1033,,,sao paulo,SP
1006,,,sao paulo,SP
1034,,,sao paulo,SP
1042,,,sao paulo,SP
1040,,,sao paulo,SP
1026,,,são paulo,SP
1036,,,sao paulo,SP
1048,,,são paulo,SP
1002,,,sao paulo,SP
1031,,,sao paulo,SP
1022,,,sao paulo,SP
1008,,,sao paulo,SP
1010,,,sao paulo,SP
1003,,,sao paulo,SP
1001,,,sao paulo,SP
1015,,,sao paulo,SP
1038,,,sao paulo,SP
1016,,,sao paulo,SP
1049,,,sao paulo,SP
1021,,,sao paulo,SP
1018,,,sao paulo,SP
1044,,,sao paulo,SP
1030,,,são paulo,SP
1025,,,sao paulo,SP
1004,,,sao paulo,SP
1023,,,sao paulo,SP
1028,,,sao paulo,SP
1155,,,sao paulo,SP
1122,,,são paulo,SP
1150,,,sao paulo,SP
1123,,,sao paulo,SP
1139,,,sao paulo,SP
1153,,,são paulo,SP
1104,,,sao paulo,SP
1136,,,são paulo,SP
1130,,,sao paulo,SP
1103,,,são paulo,SP
1156,,,são paulo,SP
1151,,,sao paulo,SP
1140,,,sao paulo,SP
1120,,,sao paulo,SP
1106,,,sao paulo,SP
1124,,,sao paulo,SP
1131,,,sao paulo,SP
1121,,,sao paulo,SP
1141,,,são paulo,SP
1125,,,sao paulo,SP
1102,,,são paulo,SP
1127,,,sao paulo,SP
1137,,,são paulo,SP
1135,,,sao paulo,SP
1138,,,sao paulo,SP
1128,,,sao paulo,SP
1109,,,sao paulo,SP
1132,,,sao paulo,SP
1108,,,sao paulo,SP
1107,,,sao paulo,SP
1154,,,sao paulo,SP
1152,,,sao paulo,SP
1134,,,são paulo,SP
1144,,,sao paulo,SP
1129,,,sao paulo,SP
1105,,,sao paulo,SP
1126,,,sao paulo,SP
1142,,,sao paulo,SP
1133,,,sao paulo,SP
1101,,,sao paulo,SP
1189,,,sao paulo,SP
1202,,,são paulo,SP
1230,,,sao paulo,SP
1221,,,sao paulo,SP
1217,,,sao paulo,SP
1243,,,sao paulo,SP
1203,,,sao paulo,SP
1214,,,sao paulo,SP
1257,,,sao paulo,SP
1231,,,sao paulo,SP
1216,,,sao paulo,SP
1226,,,são paulo,SP
1220,,,sao paulo,SP
1223,,,sao paulo,SP
1213,,,sao paulo,SP
1227,,,sao paulo,SP
1240,,,sao paulo,SP
1258,,,sao paulo,SP
1222,,,são paulo,SP
1211,,,sao paulo,SP
1244,,,sao paulo,SP
1238,,,sao paulo,SP
1204,,,sao paulo,SP
1234,,,sao paulo,SP
1228,,,sao paulo,SP
1224,,,sao paulo,SP
1229,,,sao paulo,SP
1232,,,sao paulo,SP
1218,,,são paulo,SP
1215,,,são paulo,SP
1239,,,sao paulo,SP
1205,,,são paulo,SP
1201,,,sao paulo,SP
1259,,,sao paulo,SP
